Embedding model,method,dims,number of clusters,AUC,ACC
openai_text-embedding-3-large_1536,pca,2,108,0.7409382414872319,0.7195902688860435
openai_text-embedding-3-large_1536,pca,2,118,0.7240437666419195,0.7091243110838946
openai_text-embedding-3-large_1536,pca,2,128,0.7428129483262915,0.7137449201135668
openai_text-embedding-3-large_1536,pca,2,138,0.729082558064736,0.7125201803707621
openai_text-embedding-3-large_1536,pca,2,148,0.7380098280399012,0.7195902688860435
openai_text-embedding-3-large_1536,pca,2,158,0.7371072289390936,0.715804709681011
openai_text-embedding-3-large_1536,pca,2,168,0.7310287659136496,0.712130490452597
openai_text-embedding-3-large_1536,pca,2,38,0.7364096129996792,0.7195902688860435
openai_text-embedding-3-large_1536,pca,2,48,0.7367512198691073,0.7184768691198575
openai_text-embedding-3-large_1536,pca,2,58,0.7388139237047846,0.7176974892835273
openai_text-embedding-3-large_1536,pca,2,68,0.7426868916719241,0.7213717085119412
openai_text-embedding-3-large_1536,pca,2,78,0.7398688134966707,0.7200912987808272
openai_text-embedding-3-large_1536,pca,2,88,0.7444452181226194,0.7243222178923342
openai_text-embedding-3-large_1536,pca,2,98,0.7383798449159077,0.7154706897511551
openai_text-embedding-3-large_1536,pca,3,108,0.7574232328030721,0.7251572677169738
openai_text-embedding-3-large_1536,pca,3,118,0.7608748310053403,0.727217057284418
openai_text-embedding-3-large_1536,pca,3,128,0.7581138584392884,0.7276624171908924
openai_text-embedding-3-large_1536,pca,3,138,0.7555851978561801,0.7214273785002505
openai_text-embedding-3-large_1536,pca,3,148,0.7561252259778706,0.7197016088626621
openai_text-embedding-3-large_1536,pca,3,158,0.7559442940834156,0.7243778878806435
openai_text-embedding-3-large_1536,pca,3,168,0.7527609113668994,0.7248232477871179
openai_text-embedding-3-large_1536,pca,3,38,0.7459670438483768,0.7243778878806435
openai_text-embedding-3-large_1536,pca,3,48,0.7506177918448185,0.7233758280910761
openai_text-embedding-3-large_1536,pca,3,58,0.7507549867449436,0.723709848020932
openai_text-embedding-3-large_1536,pca,3,68,0.7560850793338214,0.7305572565829761
openai_text-embedding-3-large_1536,pca,3,78,0.7477034882020954,0.7233758280910761
openai_text-embedding-3-large_1536,pca,3,88,0.7545418611043074,0.7240438679507877
openai_text-embedding-3-large_1536,pca,3,98,0.7489552624675254,0.7192005789678784
openai_text-embedding-3-large_1536,pca,4,108,0.7559722552962086,0.7286088069921506
openai_text-embedding-3-large_1536,pca,4,118,0.7572845079241342,0.7279407671324389
openai_text-embedding-3-large_1536,pca,4,128,0.7608701118706909,0.7312252964426877
openai_text-embedding-3-large_1536,pca,4,138,0.7598099861513117,0.7285531370038413
openai_text-embedding-3-large_1536,pca,4,148,0.7588865521390259,0.7270500473194901
openai_text-embedding-3-large_1536,pca,4,158,0.7625765958393008,0.7310582864777598
openai_text-embedding-3-large_1536,pca,4,168,0.7551740823493076,0.7258253075766854
openai_text-embedding-3-large_1536,pca,4,38,0.744413890956438,0.7232644881144575
openai_text-embedding-3-large_1536,pca,4,48,0.7530893468187252,0.7283861270389134
openai_text-embedding-3-large_1536,pca,4,58,0.7528752449836075,0.7269387073428715
openai_text-embedding-3-large_1536,pca,4,68,0.7537369154511948,0.7261036575182319
openai_text-embedding-3-large_1536,pca,4,78,0.7545455738528932,0.7256582976117575
openai_text-embedding-3-large_1536,pca,4,88,0.7618519570740985,0.7292768468518621
openai_text-embedding-3-large_1536,pca,4,98,0.7609114348984495,0.7268830373545622
openai_text-embedding-3-large_1536,pca,5,108,0.7525812170553061,0.7230418081612203
openai_text-embedding-3-large_1536,pca,5,118,0.7620522822999947,0.7284417970272227
